score_thresh,dist_thresh,ap,precision,recall,f1,tp,fp,fn,num_preds,num_targets,num_frames,fp_per_frame,mean_loc_error,mean_depth_error,mean_lateral_error,mean_euclidean_error,mean_range_error,mean_bearing_error_deg,mean_depth_bias,mean_lateral_bias
0.2,1.5,0.6844614028967254,0.5010504201680672,0.7156789197299325,0.5894346617238183,954,950,379,1904,1333,1072,0.8861940298507462,0.4322583684379381,0.3150329429898372,0.2233712146609272,0.4322583842063987,0.34395064121725805,0.9354825575244196,0.010483737761619457,0.045150674813167355
0.2,2.0,0.7041207021269603,0.5157563025210085,0.7366841710427607,0.6067346308310165,982,922,351,1904,1333,1072,0.8600746268656716,0.4744308762735894,0.3484588162233776,0.23801403384572256,0.47443089401036453,0.3859479759583161,0.9815154265009678,0.014194965119760051,0.03903509791401763
0.25,0.5,0.44596360386273043,0.48637015781922527,0.5086271567891973,0.4972497249724973,678,716,655,1394,1333,1072,0.667910447761194,0.23841074835987652,0.15638512214728162,0.14536808879502053,0.238410773760213,0.16645949484845649,0.6474247701853199,-0.046598404909657165,0.008263161927901186
0.25,1.0,0.636562007169225,0.6104734576757532,0.6384096024006002,0.6241290795746242,851,543,482,1394,1333,1072,0.5065298507462687,0.3421287443859203,0.2474818728365153,0.18310455366811518,0.3421287579722561,0.2603969929599554,0.8080920152457124,-0.031800388869611694,0.02125446773303802
0.25,1.5,0.6844614028967254,0.6520803443328551,0.68192048012003,0.6666666666666667,909,485,424,1394,1333,1072,0.45242537313432835,0.4158838218608276,0.3027469621370859,0.21606974595106473,0.41588384308513865,0.331564160260518,0.8877374303184977,0.0006307999555296105,0.04375966856762259
0.25,2.0,0.7041207021269603,0.6628407460545194,0.6931732933233309,0.6776677667766776,924,470,409,1394,1333,1072,0.43843283582089554,0.44318326414153647,0.3269900560895086,0.22315033981213708,0.44318328510310245,0.35895988040365673,0.9183440705170042,0.0054451229768398,0.04290560856703427
0.3,0.5,0.44596360386273043,0.5894160583941606,0.4846211552888222,0.5319061342116097,646,450,687,1096,1333,1072,0.4197761194029851,0.23482327542595421,0.15334956048073783,0.14430123718668803,0.2348233046386384,0.1645785633330471,0.6397872910072734,-0.04937383043507673,0.011382803124816794
0.3,1.0,0.636562007169225,0.7308394160583942,0.6009002250562641,0.6595306710580485,801,295,532,1096,1333,1072,0.2751865671641791,0.33164928109416825,0.2388303324524383,0.17950815804181772,0.3316493024761827,0.2520289032876751,0.7931213513763944,-0.03997407870346241,0.025696247750974625
0.3,1.5,0.6844614028967254,0.7700729927007299,0.6331582895723931,0.6949361877315767,844,252,489,1096,1333,1072,0.23507462686567165,0.38518547627042454,0.2804195592753695,0.20038051884268274,0.38518550092855974,0.30359257152844665,0.8495839721859382,-0.016415733296724293,0.038153982403471856
0.3,2.0,0.7041207021269603,0.7828467153284672,0.6436609152288072,0.7064635652531907,858,238,475,1096,1333,1072,0.22201492537313433,0.4073216181027451,0.3025523882645827,0.20477648349022948,0.4073216412934729,0.3260378598478048,0.8674922892035167,-0.013548498109226183,0.04288476433318395
0.35,0.5,0.44596360386273043,0.6764044943820224,0.45161290322580644,0.5416104363472785,602,288,731,890,1333,1072,0.26865671641791045,0.23174791362839392,0.1543031190320899,0.13973037575516986,0.23174794543196856,0.161593789158806,0.638434450173487,-0.05129441311985155,0.009611377672004541
